case_id,pdf_url,model,feature,predicted,evidence,latency_ms,error
21-70493,https://cdn.ca9.uscourts.gov/datastore/opinions/2022/09/14/21-70493.pdf,meta/llama-3.3-70b-instruct,asylum_requested,True,The BIA denied Hernandez’s application for asylum concluding that his 2016 domestic-violence conviction was a “particularly serious crime” that barred him from relief.,6033,
21-70493,https://cdn.ca9.uscourts.gov/datastore/opinions/2022/09/14/21-70493.pdf,meta/llama-3.3-70b-instruct,withholding_requested,False,Not mentioned in the opinion.,6033,
21-70493,https://cdn.ca9.uscourts.gov/datastore/opinions/2022/09/14/21-70493.pdf,meta/llama-3.3-70b-instruct,CAT_requested,False,Not mentioned in the opinion.,6033,
21-70493,https://cdn.ca9.uscourts.gov/datastore/opinions/2022/09/14/21-70493.pdf,meta/llama-3.3-70b-instruct,protected_ground_political_opinion,False,Not mentioned in the opinion.,6033,
21-70493,https://cdn.ca9.uscourts.gov/datastore/opinions/2022/09/14/21-70493.pdf,meta/llama-3.3-70b-instruct,protected_ground_particular_social_group,False,Not mentioned in the opinion.,6033,
21-70493,https://cdn.ca9.uscourts.gov/datastore/opinions/2022/09/14/21-70493.pdf,meta/llama-3.3-70b-instruct,past_persecution_physical_violence,False,Not mentioned in the opinion.,6033,
21-70493,https://cdn.ca9.uscourts.gov/datastore/opinions/2022/09/14/21-70493.pdf,meta/llama-3.3-70b-instruct,past_persecution_death_threats,False,Not mentioned in the opinion.,6033,
21-70493,https://cdn.ca9.uscourts.gov/datastore/opinions/2022/09/14/21-70493.pdf,meta/llama-3.3-70b-instruct,persecutor_government_actor,False,Not mentioned in the opinion.,6033,
21-70493,https://cdn.ca9.uscourts.gov/datastore/opinions/2022/09/14/21-70493.pdf,meta/llama-3.3-70b-instruct,credibility_credibility_finding,False,Not mentioned in the opinion.,6033,
21-70493,https://cdn.ca9.uscourts.gov/datastore/opinions/2022/09/14/21-70493.pdf,meta/llama-3.3-70b-instruct,bars_one_year_deadline_missed,False,Not mentioned in the opinion.,6033,
21-70493,https://cdn.ca9.uscourts.gov/datastore/opinions/2022/09/14/21-70493.pdf,deepseek-ai/deepseek-v4-flash,asylum_requested,True,The BIA also denied Hernandez’s application for asylum concluding that his 2016 domestic-violence conviction was a 'particularly serious crime' that barred him from relief.,28727,
21-70493,https://cdn.ca9.uscourts.gov/datastore/opinions/2022/09/14/21-70493.pdf,deepseek-ai/deepseek-v4-flash,withholding_requested,False,Not mentioned in the opinion.,28727,
21-70493,https://cdn.ca9.uscourts.gov/datastore/opinions/2022/09/14/21-70493.pdf,deepseek-ai/deepseek-v4-flash,CAT_requested,False,Not mentioned in the opinion.,28727,
21-70493,https://cdn.ca9.uscourts.gov/datastore/opinions/2022/09/14/21-70493.pdf,deepseek-ai/deepseek-v4-flash,protected_ground_political_opinion,False,Not mentioned in the opinion.,28727,
21-70493,https://cdn.ca9.uscourts.gov/datastore/opinions/2022/09/14/21-70493.pdf,deepseek-ai/deepseek-v4-flash,protected_ground_particular_social_group,False,Not mentioned in the opinion.,28727,
21-70493,https://cdn.ca9.uscourts.gov/datastore/opinions/2022/09/14/21-70493.pdf,deepseek-ai/deepseek-v4-flash,past_persecution_physical_violence,False,Not mentioned in the opinion.,28727,
21-70493,https://cdn.ca9.uscourts.gov/datastore/opinions/2022/09/14/21-70493.pdf,deepseek-ai/deepseek-v4-flash,past_persecution_death_threats,False,Not mentioned in the opinion.,28727,
21-70493,https://cdn.ca9.uscourts.gov/datastore/opinions/2022/09/14/21-70493.pdf,deepseek-ai/deepseek-v4-flash,persecutor_government_actor,False,Not mentioned in the opinion.,28727,
21-70493,https://cdn.ca9.uscourts.gov/datastore/opinions/2022/09/14/21-70493.pdf,deepseek-ai/deepseek-v4-flash,credibility_credibility_finding,False,Not mentioned in the opinion.,28727,
21-70493,https://cdn.ca9.uscourts.gov/datastore/opinions/2022/09/14/21-70493.pdf,deepseek-ai/deepseek-v4-flash,bars_one_year_deadline_missed,False,Not mentioned in the opinion.,28727,
21-70493,https://cdn.ca9.uscourts.gov/datastore/opinions/2022/09/14/21-70493.pdf,mistralai/mistral-large-3-675b-instruct-2512,asylum_requested,False,Not mentioned in the opinion.,89670,
21-70493,https://cdn.ca9.uscourts.gov/datastore/opinions/2022/09/14/21-70493.pdf,mistralai/mistral-large-3-675b-instruct-2512,withholding_requested,False,Not mentioned in the opinion.,89670,
21-70493,https://cdn.ca9.uscourts.gov/datastore/opinions/2022/09/14/21-70493.pdf,mistralai/mistral-large-3-675b-instruct-2512,CAT_requested,False,"In its remand order to the IJ, the BIA noted that it did not construe [the court’s] remand order to 'disturb[] [its] prior determination that [Hernandez] did not meet his burden of proving eligibility on the merits of his applications' for withholding of removal or CAT protection. Accordingly, Hernandez’s eligibility for those forms of relief is not at issue here.",89670,
21-70493,https://cdn.ca9.uscourts.gov/datastore/opinions/2022/09/14/21-70493.pdf,mistralai/mistral-large-3-675b-instruct-2512,protected_ground_political_opinion,False,Not mentioned in the opinion.,89670,
21-70493,https://cdn.ca9.uscourts.gov/datastore/opinions/2022/09/14/21-70493.pdf,mistralai/mistral-large-3-675b-instruct-2512,protected_ground_particular_social_group,False,Not mentioned in the opinion.,89670,
21-70493,https://cdn.ca9.uscourts.gov/datastore/opinions/2022/09/14/21-70493.pdf,mistralai/mistral-large-3-675b-instruct-2512,past_persecution_physical_violence,True,Hernandez acknowledged that he was convicted of hitting his ex-wife in the face after two prior incidents where he became angry and hit her.,89670,
